Geneid,SRR21043407,SRR21043572,SRR21043958,SRR21043816,SRR21043814,SRR21043817
ENSG00000175899,0,0,1,0,3,0
ENSG00000127837,160,215,202,110,122,128
ENSG00000090861,348,248,384,167,265,185
ENSG00000275700,35,37,48,23,29,30
ENSG00000085563,1,4,4,6,8,3
ENSG00000023839,55,34,60,44,47,38
ENSG00000114770,553,375,856,361,546,408
ENSG00000164163,73,41,26,23,61,28
ENSG00000204574,336,310,289,241,325,233
ENSG00000161204,14,9,30,12,11,8
ENSG00000160179,3,4,2,1,4,6
ENSG00000108846,13,4,10,10,17,7
ENSG00000118777,207,160,232,120,202,131
ENSG00000163686,6,1,12,13,4,7
ENSG00000097007,10,4,11,10,13,9
ENSG00000115361,0,1,0,0,0,0
ENSG00000120437,74,80,74,44,60,29
ENSG00000182827,102,99,92,65,85,52
ENSG00000102977,25,5,18,8,11,7
ENSG00000159640,5,5,5,3,8,6
ENSG00000087085,14,15,26,22,18,23
ENSG00000131473,145,207,124,144,137,141
ENSG00000123130,2,0,5,0,4,1
ENSG00000151726,93,124,53,74,121,65
ENSG00000075624,762,1052,683,657,858,808
ENSG00000266920,0,1,0,0,2,0
ENSG00000077522,0,0,0,0,0,2
ENSG00000131966,231,212,166,164,203,171
ENSG00000137845,265,167,268,205,212,140
ENSG00000114948,6,2,1,1,3,3
ENSG00000087116,0,0,0,0,0,0
ENSG00000197381,376,251,437,257,338,267
ENSG00000065457,11,18,12,8,7,13
ENSG00000163050,35,40,30,25,33,34
ENSG00000155897,0,0,0,0,0,0
ENSG00000162104,12,6,7,2,4,8
ENSG00000187758,1,0,0,0,0,0
ENSG00000182551,191,193,135,142,200,166
ENSG00000156110,639,524,642,317,449,317
ENSG00000148926,16,13,14,8,17,13
ENSG00000181915,184,128,175,116,172,97
ENSG00000163485,15,32,8,1,2,4
ENSG00000128271,1,2,2,1,0,4
ENSG00000120907,0,0,0,0,0,0
ENSG00000169252,2,2,2,1,2,3
ENSG00000173020,65,65,82,45,52,52
ENSG00000239900,1,0,0,0,1,2
ENSG00000169129,7,10,3,3,6,2
ENSG00000183077,24,26,32,21,28,15
ENSG00000081051,0,0,0,0,0,0
ENSG00000162688,59,41,54,26,41,35
ENSG00000169692,126,91,108,77,95,72
ENSG00000138678,16,8,19,14,17,7
ENSG00000188157,1132,631,1023,846,1082,729
ENSG00000135744,1,0,0,0,0,0
ENSG00000144891,1,0,0,0,2,0
ENSG00000177674,31,26,25,32,34,21
ENSG00000156709,186,175,194,144,214,139
ENSG00000163568,2,0,0,0,0,0
ENSG00000197976,69,45,108,28,40,32
ENSG00000105127,299,257,291,196,304,181
ENSG00000011243,18,24,15,8,24,12
ENSG00000085662,0,1,3,0,0,1
ENSG00000187134,4,8,7,6,8,2
ENSG00000196139,92,91,57,111,136,158
ENSG00000122787,1,0,1,0,1,5
ENSG00000142208,3114,2372,3600,2074,2868,1990
ENSG00000105221,48,17,70,17,29,15
ENSG00000117020,1,0,0,0,0,0
ENSG00000163631,0,0,0,0,0,0
ENSG00000059573,9,16,12,4,14,14
ENSG00000165092,0,0,0,0,0,0
ENSG00000111275,9,1,5,2,3,0
ENSG00000159423,52,66,81,42,47,48
ENSG00000164904,2,0,3,1,0,0
ENSG00000143149,71,54,70,39,50,42
ENSG00000149925,1777,1347,1955,1477,2045,1145
ENSG00000109107,9,13,9,7,7,4
ENSG00000253710,59,41,88,19,49,35
ENSG00000159063,3,3,1,3,4,2
ENSG00000162551,0,0,0,0,0,2
