"gene","ensembl_id","stat","log2FoldChange","pvalue","baseMean"
"GREB1","ENSG00000196208",4.04877456327958e-52,1.90970217392812,4.37989459463391e-56,629.245395034016
"TFF1","ENSG00000160182",7.38182970306395e-35,1.25811721677728,1.59710724860752e-38,3126.83590921393
"PRR11","ENSG00000068489",1.8735826946236e-24,1.34487320419399,6.08042847671009e-28,244.262064262927
"ARHGAP11A","ENSG00000198826",2.08672947182043e-16,1.40456420882742,9.02955201999323e-20,132.055561757527
"CDK1","ENSG00000170312",5.92317663803944e-14,1.39329046009041,3.20379523909533e-17,116.284130069472
"AGR2","ENSG00000106541",6.28803199111717e-13,0.891890596448964,4.08137082937073e-16,519.702071535531
"ID2","ENSG00000115738",3.45077272629634e-12,-0.96320130544573,2.61309055431354e-15,247.540701888183
"SFXN2","ENSG00000156398",4.37770784213734e-12,2.07350848741044,3.78858316065542e-15,47.0670985766297
"LGALS3","ENSG00000131981",9.77314806012474e-12,-0.793239308441364,9.5151809326182e-15,592.056573359262
"TPD52L1","ENSG00000111907",1.52127068293142e-11,0.724398484053117,1.64568442549915e-14,1018.82331746776
"RPL7A","ENSG00000148303",3.36595009531622e-11,0.797306067796472,4.00534952925989e-14,601.540734032364
"FAM107B","ENSG00000065809",7.58014844011921e-11,-0.949980276253778,9.84008884481075e-14,279.896058716603
"PREX1","ENSG00000124126",1.76503151389318e-10,0.930361484551636,2.48219490270568e-13,254.951015674077
"NPIPB3","ENSG00000169246",4.00589379618871e-10,0.738043193416482,6.06690968700151e-13,1769.33304186866
"HMMR","ENSG00000072571",4.41110338246778e-10,1.10616802991042,7.39029076418676e-13,142.059586495386
"RPN1","ENSG00000163902",4.41110338246778e-10,0.587352817343364,7.63496907393818e-13,1573.69502971814
"CELSR2","ENSG00000143126",3.28086032304197e-09,0.796970986816057,6.03360293073491e-12,319.399230498174
"RET","ENSG00000165731",4.3279282025714e-09,1.58207268369868,8.4273807492736e-12,51.83730508638
"SLC19A2","ENSG00000117479",4.51111859788771e-09,0.907013833069075,9.27209577670559e-12,195.877313092478
"FOXP2","ENSG00000128573",4.71437644629166e-09,-0.689782047784764,1.0709855622255e-11,547.874189564512
"PPIAL4A","ENSG00000263353",4.71437644629166e-09,-0.793739678397814,1.0474661514667e-11,1260.4117721286
"CALCR","ENSG00000004948",5.72866453098239e-09,1.0548416568806,1.36337753874527e-11,144.683119394534
"RPS4X","ENSG00000198034",7.40389731943152e-09,0.725109563855851,1.92312977066952e-11,437.789580584182
"ZFP36L2","ENSG00000152518",7.40389731943152e-09,-0.971957165796313,1.86171843657724e-11,138.660728908964
"C4orf3","ENSG00000164096",7.40389731943152e-09,-0.836083339868442,2.00235215259399e-11,350.414818256194
"TMSB4X","ENSG00000205542",1.54545096528145e-08,-0.572303753481898,4.34678982013388e-11,1411.88458258649
"PIGP","ENSG00000185808",1.76986817903566e-08,-1.20661332128796,5.16945487169655e-11,132.58605110976
"KIF11","ENSG00000138160",1.8985853641182e-08,1.2812840256693,5.75079945860121e-11,76.5851035004183
"UBAP2L","ENSG00000143569",2.19954654382115e-08,-0.699864696606174,6.90035155460983e-11,364.11084071222
"LMBR1","ENSG00000105983",2.63874508187148e-08,0.926223035539071,8.56364695544619e-11,210.204831473957
"HSPA5","ENSG00000044574",3.11682026122878e-08,0.848541709087743,1.04523396904037e-10,564.588489547836
"ABAT","ENSG00000183044",8.14506611678356e-08,0.950121390073207,2.84200114311822e-10,124.300454640813
"HMGCS1","ENSG00000112972",8.14506611678356e-08,0.616669306926928,2.90769344281542e-10,619.816477242496
"LACTB","ENSG00000103642",9.24325898332822e-08,-0.576426363157462,3.39972744951492e-10,498.179643967927
"DSP","ENSG00000096696",9.43405263772792e-08,0.639336200947268,3.57195848464385e-10,938.062674430796
"RPS15","ENSG00000115268",1.08859835788963e-07,0.535099044735869,4.34475993915544e-10,699.114684004094
"CETN2","ENSG00000147400",1.08859835788963e-07,0.712678666053835,4.3572197362523e-10,350.786873480407
"ASCL1","ENSG00000139352",1.12593429763077e-07,0.955790779797938,4.62846206295643e-10,234.60436006635
"CENPI","ENSG00000102384",1.19210972860375e-07,1.18044830818698,5.02945471825469e-10,67.7616304025561
"RPS27A","ENSG00000143947",1.2816567329338e-07,-0.767011402859942,5.54589672407531e-10,370.488705468957
"OTUD1","ENSG00000165312",1.45636350266321e-07,-0.692430175980603,6.45942271843265e-10,400.666911078123
"PRC1","ENSG00000198901",1.47840381406403e-07,1.25356416727933,6.71710949704557e-10,62.6707555222228
"HMGB2","ENSG00000164104",1.72447725042848e-07,0.892574724404155,8.02169209956996e-10,126.692806065528
"HM13","ENSG00000101294",1.86545437060412e-07,-0.793903072406402,8.8792722097124e-10,435.887671915685
"KYNU","ENSG00000115919",2.5403972734242e-07,-0.522522794667351,1.23667110887158e-09,720.598488848592
"DAD1","ENSG00000129562",2.77815490716564e-07,-0.561023725455115,1.3824656612897e-09,715.495345779901
"TOP2A","ENSG00000131747",2.83087366861555e-07,1.80805168195803,1.46612511743188e-09,31.1627390796683
"AMZ1","ENSG00000174945",2.83087366861555e-07,1.1696196350442,1.46994738309764e-09,74.2209368324512
"LMAN2","ENSG00000169223",3.09145191898794e-07,0.607630902078185,1.63869692806587e-09,658.377638915083
"ATG101","ENSG00000123395",3.27777387963751e-07,0.806384464744305,1.77291966661484e-09,181.472347597923
"KIF2C","ENSG00000142945",4.11236271181976e-07,1.6253535540462,2.26882841089147e-09,39.4639951564289
"GTF3A","ENSG00000122034",4.38075485401929e-07,-0.725269356534408,2.46429308101474e-09,244.718027953968
"RBBP4","ENSG00000162521",4.54282052960902e-07,-0.599698737351272,2.60460285665597e-09,409.155086951845
"BCAS1","ENSG00000064787",4.71602003926003e-07,-1.10294603220994,2.75492300000045e-09,69.617618924145
"KRT15","ENSG00000171346",7.01022556689316e-07,1.01595366416348,4.17094770855824e-09,98.7580121334734
"H4C1","ENSG00000278637",7.40395069248366e-07,0.969009610012144,4.565395818602e-09,97.4121957314882
"SDK2","ENSG00000069188",7.40395069248366e-07,1.91557018687973,4.56041458157238e-09,25.3582978166279
"KAT2B","ENSG00000114166",8.57046852750026e-07,-0.807351652337615,5.37740344650601e-09,174.733193692223
"SNRPC","ENSG00000124562",8.75084683926228e-07,-0.715663614530184,5.58524408823534e-09,280.583964407727
"RAB12","ENSG00000206418",9.3475425167155e-07,-0.742798970139944,6.06720630682529e-09,173.979867624929
"UBL5","ENSG00000198258",9.77201133330367e-07,0.521559313885371,6.44842807584946e-09,516.355104032851
"KIF23","ENSG00000137807",1.03895141057908e-06,1.00568210870781,6.96830240760525e-09,92.7543959791199
"PLEKHF2","ENSG00000175895",1.32175740156526e-06,-0.534661298208182,9.00808268050753e-09,660.944211242091
"DEPDC1","ENSG00000024526",1.45793143305599e-06,1.58403118978528,1.00938567411925e-08,33.8919920178379
"DENR","ENSG00000139726",1.51383217644882e-06,-0.4797689779263,1.06446442523987e-08,692.611848111213
"APOD","ENSG00000189058",1.624209730173e-06,-1.23149227884724,1.15964779523386e-08,59.2363993263643
"TBC1D9","ENSG00000109436",1.90360367318494e-06,-0.646975371830923,1.40031425548005e-08,1848.50249118925
"UBP1","ENSG00000153560",1.90360367318494e-06,-0.584779590685525,1.39634238546176e-08,424.724511277051
"ATOSA","ENSG00000047346",2.12145349086884e-06,-0.477697816011197,1.58351677704403e-08,939.678312481994
"KIF14","ENSG00000118193",2.15632576481135e-06,1.41007369948875,1.63287325331885e-08,50.2047629944385
"PSCA","ENSG00000167653",2.18086198121799e-06,-1.005164018715,1.67504544208651e-08,150.569534987402
"KRT81","ENSG00000205426",2.18209750492422e-06,-0.6141207604921,1.69959996056408e-08,556.350578357073
"RPL6","ENSG00000089009",2.27046454832844e-06,0.549101413828519,1.79298909593224e-08,567.320584288508
"INSIG1","ENSG00000186480",2.27396486060269e-06,0.606091765504261,1.82035265777368e-08,962.33986511091
"JUN","ENSG00000177606",2.46791513074811e-06,-0.933925411182848,2.02900854540087e-08,106.993269447958
"SAP18","ENSG00000150459",2.46791513074811e-06,-0.573641903323046,2.01508056348024e-08,431.666148078665
"NUSAP1","ENSG00000137804",2.50871274380926e-06,1.21813622205321,2.08968932576064e-08,62.0357199521241
"NPIPB4","ENSG00000185864",2.874466136281e-06,-0.53078823965609,2.42544741053568e-08,726.262756620352
"BCLAF1","ENSG00000029363",2.95773073480291e-06,-0.653893393111695,2.52770151503062e-08,455.125255173002
"TUBA1B","ENSG00000123416",2.99258267005678e-06,0.719064968517532,2.58985951541045e-08,257.374718631925
"TWSG1","ENSG00000128791",3.14500957762031e-06,-0.845626931152562,2.75579593019521e-08,179.935024515521
"SYTL2","ENSG00000137501",3.58678080551861e-06,-0.610386569240575,3.18169651722767e-08,353.137750771881
"OS9","ENSG00000135506",3.8460883316388e-06,0.766364400039888,3.49493098071895e-08,158.070445724952
"TYMS","ENSG00000176890",3.8460883316388e-06,0.75327452331846,3.47895329508104e-08,217.097415736112
"MYB","ENSG00000118513",4.17732898692588e-06,0.82711222264934,3.84111817274664e-08,122.805043415802
"KIF20A","ENSG00000112984",5.76946863313437e-06,1.64264450823194,5.3675281528511e-08,29.9329962492611
"GSPT1","ENSG00000103342",5.87906080903201e-06,-0.533879601646299,5.5330840586952e-08,453.092420140809
"ATP5MG","ENSG00000167283",6.07327163774201e-06,-0.545320807850309,5.78156538426327e-08,628.283638681708
"H3C7","ENSG00000277775",7.05778263744195e-06,1.12760664894046,6.79513906028055e-08,66.167500056606
"CD24","ENSG00000272398",7.29464433261648e-06,-1.12409084895804,7.10209854971315e-08,808.991624171378
"DDA1","ENSG00000130311",8.77899715210553e-06,-0.629776771128211,8.64224081395071e-08,229.371388174993
"CBX6","ENSG00000183741",9.26147892036679e-06,-0.544784903122834,9.21739572342865e-08,440.373724387998
"GPSM2","ENSG00000121957",9.37017794319103e-06,0.733593895146153,9.42694232709613e-08,174.005103838916
"NULL","",1.03284969019171e-05,-0.517475467166319,1.05027986670295e-07,4439.45716305642
"NEDD4","ENSG00000069869",1.03650665622537e-05,-0.571228935141126,1.06521129750552e-07,321.589530618679
"ZNF354A","ENSG00000169131",1.22453136932507e-05,-0.702901401132337,1.27168986861972e-07,311.361637650266
"ABHD17C","ENSG00000136379",1.38223189596132e-05,-0.648380674157786,1.45041642047001e-07,235.235343475678
"CLIP4","ENSG00000115295",1.38745786476447e-05,-0.814107621953156,1.47090946286151e-07,104.129492851395
"CCNB1","ENSG00000134057",1.41914753010294e-05,0.942376763032588,1.51985726395707e-07,80.0517495508525
"NUDT4","ENSG00000173598",1.46898660411393e-05,-0.818901708843249,1.58912440946985e-07,217.887189594096
"H1-5","ENSG00000184357",1.67396830624352e-05,1.03224766147783,1.82897878548892e-07,76.8636544447808
"CD47","ENSG00000196776",1.70698853559489e-05,-0.531845401191347,1.90198852408345e-07,523.666356484081
"ABHD2","ENSG00000140526",1.70698853559489e-05,0.693836607809237,1.89643682518462e-07,184.437542995339
"RPL9","ENSG00000163682",1.76934048477409e-05,0.520698367717336,1.99060374747409e-07,802.401112640786
"IQGAP3","ENSG00000183856",2.01390222243545e-05,1.57878226608848,2.28753497788535e-07,27.1478049432537
"ENSG00000278272","ENSG00000278272",2.09004287849539e-05,1.63717197981616,2.39663073475239e-07,26.400999704692
"RPS2","ENSG00000140988",2.33413529197061e-05,0.482037905925202,2.7017792756475e-07,1299.13954991614
"NPNT","ENSG00000168743",2.33808113993594e-05,-0.566714442218241,2.75731599982975e-07,268.926171513185
"NPY1R","ENSG00000164128",2.33808113993594e-05,0.490053277466632,2.8075184609789e-07,807.278433944096
"TSPAN6","ENSG00000000003",2.33808113993594e-05,-0.626071078191987,2.746034997367e-07,223.118515309045
"MTA3","ENSG00000057935",2.33808113993594e-05,-0.664015121687205,2.79625768202949e-07,163.016293695179
"TRIM37","ENSG00000108395",2.42624470375451e-05,0.507345951429342,2.93963010407297e-07,3485.84046210664
"MUC5B","ENSG00000117983",2.5156640277767e-05,0.872041757060926,3.0751842831974e-07,107.249276215944
"WAC","ENSG00000095787",2.74315498472361e-05,-0.643735173952126,3.38294751469593e-07,337.012623807193
"MOB1B","ENSG00000173542",2.89429578862705e-05,0.812750147213635,3.60064923942136e-07,107.381627485633
"PRPF38B","ENSG00000134186",2.93505994037448e-05,-0.710140253345249,3.73546529246627e-07,512.130248244187
"CSTB","ENSG00000160213",2.93505994037448e-05,-0.540026879292311,3.74661480921884e-07,1405.40162265729
"MRPL45","ENSG00000278845",2.93505994037448e-05,-0.713958535136391,3.6975699074683e-07,167.444099761213
"SCAMP1","ENSG00000085365",3.10919862108415e-05,-0.591610974235795,4.00253825085475e-07,384.515254382706
"UBE2L5","ENSG00000236444",3.26855422210652e-05,-0.793956619786789,4.24303879979211e-07,184.629270140717
"TPX2","ENSG00000088325",3.29406394223308e-05,1.69445613445111,4.31389595339365e-07,23.5923281441775
"CENPN","ENSG00000166451",3.29406394223308e-05,0.735192664474204,4.36772305724631e-07,124.820422713635
"NDUFS5","ENSG00000168653",3.29406394223308e-05,-0.541322076529725,4.38305782015003e-07,391.801575526455
"ULK1","ENSG00000177169",3.3228424142347e-05,0.584300282340107,4.45729618525641e-07,311.208074585293
"CA5B","ENSG00000169239",3.40901761307735e-05,-0.77975034757129,4.61144005147598e-07,130.235199059359
"NPIPA5","ENSG00000183793",3.40901761307735e-05,0.504107068489057,4.68352701061037e-07,823.483931528924
"RPS27","ENSG00000177954",3.40901761307735e-05,-0.405004364387778,4.67058328153153e-07,3000.25376328774
"SALL4","ENSG00000101115",3.64798760608261e-05,-0.720419116030376,5.05130261335541e-07,199.915982003393
"NACA","ENSG00000196531",3.90854681473346e-05,-0.739791713422295,5.45437623432081e-07,155.316163007254
"CDC42","ENSG00000070831",4.23718182517121e-05,-0.407787770307437,5.95882342354237e-07,1430.79620908575
"EPS15L1","ENSG00000127527",4.4045286085005e-05,0.647664966455011,6.24181358409309e-07,207.752583561589
"TXNIP","ENSG00000265972",4.56160735160464e-05,0.553306398099244,6.51376212042204e-07,413.330938287822
"UCP2","ENSG00000175567",4.60139614227967e-05,0.57466300023939,6.62035576507135e-07,635.153556379432
"TMED8","ENSG00000100580",4.69659058573347e-05,0.890029941560461,6.80812568680533e-07,116.890184963177
"RAB11FIP3","ENSG00000090565",5.33707764526225e-05,0.849799694629163,7.79430422014717e-07,93.8197762548868
"RAPGEFL1","ENSG00000108352",5.47038147401627e-05,0.908274426689687,8.04815967618145e-07,72.3395798519367
"UBE2R2","ENSG00000107341",5.64845165048901e-05,0.555327883685588,8.37124487361525e-07,447.031645960309
"DHCR7","ENSG00000172893",5.95282253137052e-05,0.334262820072331,8.88673203514855e-07,3562.54176212656
"PRXL2C","ENSG00000158122",5.97455135799734e-05,-1.15405634837965,8.98380180399859e-07,56.023519916831
"PSMA3","ENSG00000100567",6.6959402613864e-05,-0.453043842755918,1.01409740003688e-06,1066.52378418125
"DHRS4L2","ENSG00000187630",6.79916535976095e-05,0.600270544533583,1.03708601874329e-06,225.220131901195
"FUBP1","ENSG00000162613",6.84798812143652e-05,0.591255433029728,1.05194105716571e-06,368.20038725189
"SLC25A6","ENSG00000169100",6.92266206394189e-05,-0.516111081705338,1.07090077363013e-06,614.446227863977
"CLMN","ENSG00000165959",7.39630170284222e-05,-0.721012171560149,1.16817400326154e-06,133.51935502542
"MKI67","ENSG00000148773",7.39630170284222e-05,1.03728232058143,1.16327792145943e-06,66.8723751993071
"ACTR2","ENSG00000138071",7.39630170284222e-05,-1.22705961053707,1.15552371482536e-06,44.7087261502953
"EMC4","ENSG00000128463",7.44606983139733e-05,0.682644266431165,1.1921444559139e-06,151.397972521903
"ZWILCH","ENSG00000174442",7.44606983139733e-05,0.874707966699465,1.18894628597407e-06,74.911054797843
"BCAP29","ENSG00000075790",7.45811612959912e-05,-0.559788776720943,1.20214117623352e-06,238.167690827098
