NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	130	-0.34362814	-1.3568462	0.03526971	0.6403124	0.624	1446	tags=28%, list=15%, signal=33%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	-0.27520335	-1.3172901	0.023404256	0.4728675	0.727	1024	tags=17%, list=11%, signal=19%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	94	-0.2559509	-1.0178248	0.3900415	1.0	1.0	1990	tags=33%, list=21%, signal=41%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	71	-0.28165853	-1.0075799	0.4597938	1.0	1.0	1990	tags=30%, list=21%, signal=37%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	72	-0.2114068	-0.91406405	0.6871287	1.0	1.0	1567	tags=19%, list=17%, signal=23%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	38	-0.26875326	-0.86620885	0.6437247	1.0	1.0	1007	tags=24%, list=11%, signal=26%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	79	-0.20995128	-0.8606805	0.64056224	1.0	1.0	1943	tags=25%, list=21%, signal=32%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	48	-0.19500536	-0.83782685	0.75848305	1.0	1.0	1943	tags=25%, list=21%, signal=31%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.200381	-0.8173966	0.79141104	1.0	1.0	1772	tags=23%, list=19%, signal=29%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	-0.19740988	-0.8017734	0.6074219	1.0	1.0	1747	tags=19%, list=19%, signal=23%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	59	-0.3589411	-0.77350456	0.7887029	1.0	1.0	1682	tags=34%, list=18%, signal=41%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	17	-0.25142956	-0.6854704	0.9158317	1.0	1.0	1964	tags=24%, list=21%, signal=30%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	103	-0.21794418	-0.6713968	0.85983264	1.0	1.0	2187	tags=31%, list=23%, signal=40%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	154	-0.14933944	-0.63683075	0.9696356	0.97412735	1.0	2732	tags=31%, list=29%, signal=43%	
