Geneid,SRR21043408,SRR21043573,SRR21043959,SRR21043814,SRR21043817,SRR21043816
ENSG00000175899,0,1,1,3,0,0
ENSG00000127837,150,246,206,122,128,110
ENSG00000090861,266,376,416,265,185,167
ENSG00000275700,38,42,53,29,30,23
ENSG00000085563,5,3,6,8,3,6
ENSG00000023839,53,49,76,47,38,44
ENSG00000114770,601,691,1053,546,408,361
ENSG00000164163,41,55,43,61,28,23
ENSG00000204574,321,365,334,325,233,241
ENSG00000161204,17,20,30,11,8,12
ENSG00000160179,3,5,6,4,6,1
ENSG00000108846,17,19,20,17,7,10
ENSG00000118777,159,194,273,202,131,120
ENSG00000163686,8,16,33,4,7,13
ENSG00000097007,3,11,24,13,9,10
ENSG00000115361,0,0,1,0,0,0
ENSG00000120437,53,85,92,60,29,44
ENSG00000182827,76,128,119,85,52,65
ENSG00000102977,6,14,10,11,7,8
ENSG00000159640,6,7,19,8,6,3
ENSG00000087085,29,35,57,18,23,22
ENSG00000131473,169,306,181,137,141,144
ENSG00000123130,0,5,7,4,1,0
ENSG00000151726,78,142,80,121,65,74
ENSG00000075624,746,1634,1058,858,808,657
ENSG00000266920,2,0,0,2,0,0
ENSG00000077522,0,0,0,0,2,0
ENSG00000131966,203,310,260,203,171,164
ENSG00000137845,229,269,284,212,140,205
ENSG00000114948,2,1,0,3,3,1
ENSG00000087116,0,0,3,0,0,0
ENSG00000197381,333,342,504,338,267,257
ENSG00000065457,15,10,20,7,13,8
ENSG00000163050,39,39,53,33,34,25
ENSG00000155897,0,0,0,0,0,0
ENSG00000162104,10,12,20,4,8,2
ENSG00000187758,0,0,0,0,0,0
ENSG00000182551,170,278,211,200,166,142
ENSG00000156110,482,635,801,449,317,317
ENSG00000148926,8,27,15,17,13,8
ENSG00000181915,128,145,154,172,97,116
ENSG00000163485,3,10,7,2,4,1
ENSG00000128271,1,2,3,0,4,1
ENSG00000120907,0,0,0,0,0,0
ENSG00000169252,4,3,1,2,3,1
ENSG00000173020,52,97,108,52,52,45
ENSG00000239900,1,3,1,1,2,0
ENSG00000169129,4,3,3,6,2,3
ENSG00000183077,24,32,53,28,15,21
ENSG00000081051,0,0,0,0,0,0
ENSG00000162688,53,61,58,41,35,26
ENSG00000169692,101,127,178,95,72,77
ENSG00000138678,16,22,21,17,7,14
ENSG00000188157,847,717,1330,1082,729,846
ENSG00000135744,0,0,0,0,0,0
ENSG00000144891,1,0,0,2,0,0
ENSG00000177674,30,36,49,34,21,32
ENSG00000156709,200,250,206,214,139,144
ENSG00000163568,0,0,0,0,0,0
ENSG00000197976,46,82,104,40,32,28
ENSG00000105127,242,298,320,304,181,196
ENSG00000011243,16,19,31,24,12,8
ENSG00000085662,1,3,4,0,1,0
ENSG00000187134,8,2,8,8,2,6
ENSG00000196139,106,164,169,136,158,111
ENSG00000122787,2,1,4,1,5,0
ENSG00000142208,2787,3107,3997,2868,1990,2074
ENSG00000105221,25,32,75,29,15,17
ENSG00000117020,1,1,0,0,0,0
ENSG00000163631,0,0,2,0,0,0
ENSG00000059573,12,16,12,14,14,4
ENSG00000165092,0,0,0,0,0,0
ENSG00000111275,2,0,5,3,0,2
ENSG00000159423,59,91,95,47,48,42
ENSG00000164904,0,4,6,0,0,1
ENSG00000143149,57,50,50,50,42,39
ENSG00000149925,1476,1779,2399,2045,1145,1477
ENSG00000109107,7,16,14,7,4,7
ENSG00000253710,44,62,59,49,35,19
ENSG00000159063,5,12,5,4,2,3
ENSG00000162551,0,1,0,0,2,0
ENSG00000123505,107,150,175,170,100,99
ENSG00000162066,126,197,238,160,102,73
ENSG00000144233,96,105,140,64,58,49
ENSG00000243480,1,6,2,3,2,1
ENSG00000214174,16,13,16,17,10,7
ENSG00000153107,74,93,125,99,47,52
ENSG00000141552,20,34,23,30,13,11
ENSG00000089053,1005,1102,1460,1147,788,820
ENSG00000088448,559,505,891,576,386,442
ENSG00000132466,11,14,25,5,7,8
ENSG00000215559,3,3,2,5,2,2
ENSG00000251056,26,28,59,36,27,22
ENSG00000206192,0,0,2,0,2,0
ENSG00000105186,131,142,217,174,88,118
ENSG00000196912,26,25,49,18,16,7
ENSG00000160746,87,112,134,82,44,59
ENSG00000164111,576,743,520,636,404,442
ENSG00000138279,234,452,359,152,153,145
ENSG00000166747,136,177,135,110,107,64
ENSG00000106367,813,1505,1471,714,582,507
ENSG00000183020,9,18,16,8,11,12
ENSG00000161203,12,11,26,13,14,5
ENSG00000132842,135,210,174,107,103,97
ENSG00000221838,31,50,59,40,32,22
ENSG00000011132,18,37,17,20,9,10
ENSG00000163697,183,352,291,186,161,143
ENSG00000171388,0,0,0,0,1,0
ENSG00000110244,0,0,0,1,1,0
ENSG00000239713,0,0,0,1,1,0
ENSG00000110245,0,0,0,0,0,0
ENSG00000189058,68,66,78,80,71,85
ENSG00000130203,0,2,0,2,1,0
ENSG00000184831,44,79,48,44,23,34
ENSG00000256053,339,339,459,447,247,292
ENSG00000142192,352,351,250,432,210,234
ENSG00000062725,2795,4110,3722,2996,2263,2002
ENSG00000157500,7,6,8,2,4,1
