NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	140	-0.27458772	-1.1800839	0.13565892	1.0	0.878	815	tags=16%, list=9%, signal=18%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	127	-0.27358973	-1.1071625	0.33739838	1.0	0.957	998	tags=18%, list=11%, signal=20%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	158	-0.22731113	-0.9848593	0.5303983	1.0	0.972	1594	tags=21%, list=17%, signal=25%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	149	-0.26148394	-0.9639114	0.4880478	1.0	0.987	2229	tags=34%, list=24%, signal=43%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	96	-0.23089744	-0.911937	0.5531062	1.0	1.0	1389	tags=20%, list=15%, signal=23%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	21	-0.26966614	-0.8578766	0.9168357	1.0	1.0	1334	tags=24%, list=14%, signal=28%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	69	-0.21079081	-0.8477111	0.8258197	1.0	1.0	1946	tags=29%, list=21%, signal=36%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	81	-0.20099206	-0.7910725	0.8649789	1.0	1.0	1984	tags=25%, list=21%, signal=31%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	-0.18493763	-0.7881506	0.7353535	1.0	1.0	2133	tags=23%, list=23%, signal=29%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	158	-0.1596329	-0.7032944	0.960861	1.0	1.0	1731	tags=20%, list=19%, signal=24%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	50	-0.19100659	-0.68069315	0.90234375	1.0	1.0	2493	tags=36%, list=27%, signal=49%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	37	-0.22679016	-0.66880065	0.90120965	1.0	1.0	2253	tags=30%, list=24%, signal=39%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	56	-0.27344185	-0.6011194	0.76363635	1.0	1.0	1291	tags=23%, list=14%, signal=27%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	102	-0.19791596	-0.5713764	0.9188641	0.98933035	1.0	2685	tags=37%, list=29%, signal=52%	
