Geneid,SRR21043405,SRR21043570,SRR21043956,SRR21043814,SRR21043815,SRR21043816
ENSG00000175899,0,0,1,3,0,0
ENSG00000127837,230,174,200,122,157,110
ENSG00000090861,448,302,400,265,246,167
ENSG00000275700,73,34,56,29,23,23
ENSG00000085563,3,2,2,8,3,6
ENSG00000023839,70,45,67,47,58,44
ENSG00000114770,748,415,669,546,498,361
ENSG00000164163,74,53,40,61,41,23
ENSG00000204574,354,296,332,325,283,241
ENSG00000161204,11,13,17,11,5,12
ENSG00000160179,1,1,2,4,1,1
ENSG00000108846,14,12,25,17,17,10
ENSG00000118777,249,142,212,202,170,120
ENSG00000163686,9,11,10,4,13,13
ENSG00000097007,22,13,5,13,8,10
ENSG00000115361,0,0,0,0,1,0
ENSG00000120437,104,82,123,60,32,44
ENSG00000182827,111,92,116,85,75,65
ENSG00000102977,21,10,11,11,14,8
ENSG00000159640,6,2,6,8,7,3
ENSG00000087085,28,17,34,18,21,22
ENSG00000131473,183,214,198,137,135,144
ENSG00000123130,2,3,6,4,1,0
ENSG00000151726,78,96,68,121,70,74
ENSG00000075624,1109,774,754,858,759,657
ENSG00000266920,0,0,1,2,2,0
ENSG00000077522,0,0,0,0,0,0
ENSG00000131966,252,189,201,203,196,164
ENSG00000137845,236,206,199,212,226,205
ENSG00000114948,3,0,3,3,1,1
ENSG00000087116,0,0,0,0,0,0
ENSG00000197381,473,286,405,338,329,257
ENSG00000065457,20,8,8,7,12,8
ENSG00000163050,44,38,36,33,31,25
ENSG00000155897,0,0,1,0,0,0
ENSG00000162104,6,8,14,4,7,2
ENSG00000187758,0,1,0,0,0,0
ENSG00000182551,203,135,151,200,176,142
ENSG00000156110,797,550,699,449,428,317
ENSG00000148926,18,8,10,17,7,8
ENSG00000181915,170,123,145,172,126,116
ENSG00000163485,14,16,26,2,3,1
ENSG00000128271,1,0,2,0,3,1
ENSG00000120907,0,0,0,0,2,0
ENSG00000169252,1,0,1,2,2,1
ENSG00000173020,95,72,97,52,62,45
ENSG00000239900,2,0,2,1,0,0
ENSG00000169129,8,8,5,6,3,3
ENSG00000183077,53,40,42,28,18,21
ENSG00000081051,0,0,0,0,0,0
ENSG00000162688,75,51,49,41,47,26
