Geneid,SRR21043228,SRR21043310,SRR21043467,SRR21043896,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,1,0,1,0,0,3,0,0
ENSG00000127837,173,188,187,198,110,122,128,157
ENSG00000090861,348,319,342,311,167,265,185,246
ENSG00000275700,22,34,29,41,23,29,30,23
ENSG00000085563,0,1,3,1,6,8,3,3
ENSG00000023839,17,26,41,41,44,47,38,58
ENSG00000114770,264,190,254,260,361,546,408,498
ENSG00000164163,50,35,42,45,23,61,28,41
ENSG00000204574,347,341,364,439,241,325,233,283
ENSG00000161204,2,9,5,15,12,11,8,5
ENSG00000160179,0,1,1,0,1,4,6,1
ENSG00000108846,33,35,30,53,10,17,7,17
ENSG00000118777,202,177,198,229,120,202,131,170
ENSG00000163686,9,5,11,22,13,4,7,13
ENSG00000097007,15,5,17,8,10,13,9,8
ENSG00000115361,0,2,0,0,0,0,0,1
ENSG00000120437,54,61,47,54,44,60,29,32
ENSG00000182827,134,90,139,145,65,85,52,75
ENSG00000102977,10,13,3,17,8,11,7,14
ENSG00000159640,3,0,2,3,3,8,6,7
ENSG00000087085,40,22,23,39,22,18,23,21
ENSG00000131473,108,114,50,77,144,137,141,135
ENSG00000123130,0,0,3,0,0,4,1,1
ENSG00000151726,122,95,82,80,74,121,65,70
ENSG00000075624,590,717,462,536,657,858,808,759
ENSG00000266920,0,3,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,150,163,164,175,164,203,171,196
ENSG00000137845,191,144,200,226,205,212,140,226
ENSG00000114948,5,3,2,1,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,211,146,180,246,257,338,267,329
ENSG00000065457,13,11,12,4,8,7,13,12
ENSG00000163050,16,17,14,29,25,33,34,31
ENSG00000155897,0,0,0,1,0,0,0,0
ENSG00000162104,3,8,6,5,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,146,124,83,142,142,200,166,176
ENSG00000156110,438,360,422,608,317,449,317,428
ENSG00000148926,12,11,17,10,8,17,13,7
ENSG00000181915,95,124,95,113,116,172,97,126
ENSG00000163485,1,9,3,8,1,2,4,3
ENSG00000128271,3,4,3,1,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,1,3,0,2,1,2,3,2
ENSG00000173020,91,61,67,38,45,52,52,62
ENSG00000239900,2,0,0,0,0,1,2,0
ENSG00000169129,2,0,0,1,3,6,2,3
ENSG00000183077,23,27,26,34,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,35,33,29,39,26,41,35,47
ENSG00000169692,88,65,83,81,77,95,72,90
ENSG00000138678,16,18,12,11,14,17,7,12
