NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	67	0.29933715	1.1955676	0.14489795	1.0	0.776	2288	tags=37%, list=25%, signal=49%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	125	0.2539092	1.1049997	0.18565401	1.0	0.969	1954	tags=28%, list=21%, signal=35%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	17	0.3322964	0.9878029	0.4213592	1.0	1.0	1429	tags=35%, list=15%, signal=42%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	0.21785136	0.96511155	0.501002	1.0	1.0	1463	tags=20%, list=16%, signal=24%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	93	0.26837328	0.939997	0.56850713	1.0	1.0	1906	tags=31%, list=21%, signal=39%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	74	0.1998364	0.9394093	0.58502024	1.0	1.0	1167	tags=16%, list=13%, signal=18%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	48	0.21745992	0.90023637	0.63927853	1.0	1.0	826	tags=15%, list=9%, signal=16%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	0.22664693	0.88632566	0.588	1.0	1.0	619	tags=14%, list=7%, signal=15%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	101	0.27411547	0.8124773	0.6720322	1.0	1.0	1424	tags=24%, list=15%, signal=28%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	70	0.23888887	0.78351426	0.821501	1.0	1.0	2449	tags=34%, list=26%, signal=46%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	0.2563558	0.7792347	0.8154158	1.0	1.0	2506	tags=40%, list=27%, signal=55%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	95	0.16384868	0.7373573	0.92668027	1.0	1.0	2246	tags=27%, list=24%, signal=36%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	94	0.15586299	0.6488187	0.9739479	1.0	1.0	2024	tags=23%, list=22%, signal=30%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	57	0.3011423	0.6334942	0.9269777	0.9828894	1.0	2554	tags=46%, list=28%, signal=63%	
