Geneid,SRR21043434,SRR21043516,SRR21043599,SRR21043874,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,1,0,0,1,0,3,0,0
ENSG00000127837,187,154,170,175,110,122,128,157
ENSG00000090861,281,334,325,311,167,265,185,246
ENSG00000275700,30,51,33,45,23,29,30,23
ENSG00000085563,2,1,8,1,6,8,3,3
ENSG00000023839,35,59,72,42,44,47,38,58
ENSG00000114770,427,488,662,359,361,546,408,498
ENSG00000164163,45,31,24,26,23,61,28,41
ENSG00000204574,331,310,274,323,241,325,233,283
ENSG00000161204,23,16,12,14,12,11,8,5
ENSG00000160179,2,2,1,2,1,4,6,1
ENSG00000108846,6,15,10,11,10,17,7,17
ENSG00000118777,194,210,189,149,120,202,131,170
ENSG00000163686,10,5,11,8,13,4,7,13
ENSG00000097007,10,20,9,7,10,13,9,8
ENSG00000115361,0,0,0,0,0,0,0,1
ENSG00000120437,95,62,68,84,44,60,29,32
ENSG00000182827,97,81,72,88,65,85,52,75
ENSG00000102977,12,9,12,5,8,11,7,14
ENSG00000159640,3,3,6,12,3,8,6,7
ENSG00000087085,21,25,17,16,22,18,23,21
ENSG00000131473,188,102,89,143,144,137,141,135
ENSG00000123130,7,1,3,3,0,4,1,1
ENSG00000151726,80,53,54,109,74,121,65,70
ENSG00000075624,763,577,552,818,657,858,808,759
ENSG00000266920,1,0,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,228,174,177,172,164,203,171,196
ENSG00000137845,222,151,198,150,205,212,140,226
ENSG00000114948,0,2,0,1,1,3,3,1
ENSG00000087116,1,0,0,0,0,0,0,0
ENSG00000197381,282,299,355,260,257,338,267,329
ENSG00000065457,12,6,9,19,8,7,13,12
ENSG00000163050,49,24,36,32,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,8,16,6,4,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,192,120,122,143,142,200,166,176
ENSG00000156110,476,533,527,445,317,449,317,428
ENSG00000148926,8,15,14,9,8,17,13,7
ENSG00000181915,160,145,182,145,116,172,97,126
ENSG00000163485,11,9,17,14,1,2,4,3
ENSG00000128271,2,2,0,2,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,2,0,1,1,1,2,3,2
ENSG00000173020,85,87,59,78,45,52,52,62
ENSG00000239900,1,1,1,0,0,1,2,0
ENSG00000169129,5,7,5,8,3,6,2,3
ENSG00000183077,35,30,30,29,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,49,49,46,38,26,41,35,47
ENSG00000169692,88,99,90,75,77,95,72,90
ENSG00000138678,10,15,11,13,14,17,7,12
ENSG00000188157,904,828,1158,717,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,31,23,23,33,32,34,21,28
ENSG00000156709,211,211,179,199,144,214,139,162
ENSG00000163568,0,0,1,0,0,0,0,0
ENSG00000197976,55,57,51,53,28,40,32,38
ENSG00000105127,240,250,234,209,196,304,181,232
ENSG00000011243,25,23,18,17,8,24,12,14
ENSG00000085662,2,0,2,0,0,0,1,0
ENSG00000187134,6,0,1,3,6,8,2,4
ENSG00000196139,104,68,79,95,111,136,158,112
ENSG00000122787,0,1,1,2,0,1,5,0
ENSG00000142208,2390,2546,3173,2350,2074,2868,1990,2424
ENSG00000105221,22,44,34,20,17,29,15,20
ENSG00000117020,1,0,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,16,2,5,14,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,4,4,3,3,2,3,0,3
ENSG00000159423,59,51,79,45,42,47,48,51
ENSG00000164904,0,2,1,0,1,0,0,0
ENSG00000143149,91,58,72,44,39,50,42,45
ENSG00000149925,1691,1608,1503,1547,1477,2045,1145,1703
ENSG00000109107,9,11,4,11,7,7,4,9
ENSG00000253710,63,49,54,53,19,49,35,33
ENSG00000159063,2,3,1,4,3,4,2,4
ENSG00000162551,0,0,0,0,0,0,2,0
ENSG00000123505,172,105,142,160,99,170,100,138
ENSG00000162066,118,129,148,119,73,160,102,131
ENSG00000144233,79,78,74,50,49,64,58,78
ENSG00000243480,3,2,1,2,1,3,2,4
ENSG00000214174,6,4,6,1,7,17,10,8
ENSG00000153107,97,103,88,89,52,99,47,92
ENSG00000141552,37,26,30,32,11,30,13,20
ENSG00000089053,1102,1060,1313,1003,820,1147,788,912
ENSG00000088448,497,546,698,446,442,576,386,556
ENSG00000132466,15,20,20,22,8,5,7,5
ENSG00000215559,2,3,1,0,2,5,2,8
ENSG00000251056,27,45,42,25,22,36,27,23
ENSG00000206192,3,0,0,0,0,0,2,0
ENSG00000105186,143,126,167,134,118,174,88,116
ENSG00000196912,10,34,31,15,7,18,16,14
ENSG00000160746,92,98,86,106,59,82,44,76
ENSG00000164111,622,413,408,508,442,636,404,602
ENSG00000138279,213,190,206,244,145,152,153,172
ENSG00000166747,111,145,111,117,64,110,107,70
ENSG00000106367,925,843,980,946,507,714,582,571
ENSG00000183020,9,6,10,7,12,8,11,7
ENSG00000161203,12,20,24,15,5,13,14,11
ENSG00000132842,162,152,194,128,97,107,103,94
ENSG00000221838,36,24,53,43,22,40,32,25
