NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	153	0.32716498	1.1903288	0.1612284	1.0	0.908	2896	tags=45%, list=31%, signal=64%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.2612115	1.0736018	0.33663365	1.0	0.975	1917	tags=26%, list=20%, signal=32%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	0.24766445	1.021075	0.5057252	1.0	1.0	1997	tags=28%, list=21%, signal=35%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	139	0.25499672	0.9971929	0.43389198	1.0	1.0	2567	tags=35%, list=27%, signal=47%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	139	0.26957658	0.99553007	0.48054475	1.0	1.0	2326	tags=30%, list=25%, signal=40%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	95	0.2545848	0.96436954	0.6060606	1.0	1.0	1525	tags=24%, list=16%, signal=29%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	157	0.20592473	0.89814776	0.70178926	1.0	1.0	2393	tags=30%, list=26%, signal=40%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	67	0.2183294	0.89557034	0.71686745	1.0	1.0	2031	tags=28%, list=22%, signal=36%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	111	0.21344729	0.87228364	0.7234042	1.0	1.0	1367	tags=20%, list=15%, signal=23%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	101	0.28472075	0.8179109	0.73295456	1.0	1.0	2529	tags=43%, list=27%, signal=58%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	128	0.21054766	0.8057626	0.76031435	1.0	1.0	2438	tags=31%, list=26%, signal=42%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	80	0.21344171	0.80138636	0.9017341	1.0	1.0	1029	tags=15%, list=11%, signal=17%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	145	0.1842563	0.7923959	0.8952381	1.0	1.0	1643	tags=19%, list=18%, signal=23%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	57	0.37718472	0.7600029	0.7919075	1.0	1.0	2033	tags=42%, list=22%, signal=53%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	77	0.15911418	0.7331185	0.9099617	1.0	1.0	2358	tags=23%, list=25%, signal=31%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	20	0.23564464	0.7272657	0.916	0.9706428	1.0	162	tags=10%, list=2%, signal=10%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	37	0.22555678	0.71932006	0.9550781	0.9192526	1.0	1817	tags=24%, list=19%, signal=30%	
